#,"CLASS & SECTION",NAME,ID,TIME,"DEVICE ID"
1,2-B,"Anoop Daughter 1",ADS150272,10.10,"office device"
2,1-L,"Anoop Son 1",123123,12.25,"office device"
3,1-L,"Anoop Son 1",123123,12.29,"office device"
4,2-B,"Anoop Son 2",ADS150472,10.16,"office device"
5,KG1-J,"Ansar Daughter 1",ADS161910,10.35,"office device"
6,KG1-K,"Ansar Son 1",ADS161745,10.12,"office device"
7,KG1-M,"Ashna Daughter 1",ADS172448,10.15,"office device"
8,KG1-M,"Ashna Daughter 1",ADS172448,12.40,"office device"
9,3-A,"Ashna Son 3",15,10.13,"office device"
10,3-A,"Ashna Son 3",15,12.39,"office device"
11,1-M,"Ayisha Mashood",ADS172338,10.45,"office device"
12,1-C,"Mohamed Izyan Ibrahim",ADS150123,10.03,"office device"
13,1-C,"Mohamed Izyan Ibrahim",ADS150123,12.29,"office device"
14,3-C,"Ramya Daughter 1",14,12.57,"office device"
15,KG1-C,"Ramya Daughter 2",ADS161810,12.58,"office device"
16,3-C,"Ramya Son 1",12,12.56,"office device"
17,3-C,"Ramya Son 5",13,12.57,"office device"
18,3-C,"Swathi Daughter 1",16,12.59,"office device"
19,KG1-N,"Swathi Son 1",ADS172439,12.55,"office device"
20,KG1-N,"Swathi Son 2",ADS172468,12.58,"office device"
