#,"Bus #",Trip,"Student Name","Student ID","Scan Time"
1,1,"MORNING TRIP (All Students)","Ansar Son 1",ADS161745,9-Nov
2,1,"MORNING TRIP (All Students)","Pramodh Son 1",ADS161736,9-Nov
3,1,"MORNING TRIP (All Students)","Pramodh Son 1",ADS161736,9-Nov
4,1,"MORNING TRIP (All Students)","Pramodh Son 2",ADS161754,9-Nov
5,1,"MORNING TRIP (All Students)","Roy Daughter 1",NFCD,9-Nov
6,1,"MORNING TRIP (All Students)","Ryan Uvanse",ADS160908,9-Nov
7,1,"MORNING TRIP (All Students)","Ryan Uvanse",ADS160908,9-Nov
8,1,"MORNING TRIP (All Students)","Sumesh Daughter 1",ADS161473,9-Nov
9,1,"MORNING TRIP (All Students)","Swathi Son 2",ADS172468,9-Nov
10,1,"MORNING TRIP (All Students)","Syed Muhammad Abdullah Zaidi",ADS161608,9-Nov
