#,"BUS #",TRIP,NAME,ID,"SCAN TIME"
1,1,"KG TRIP","Anoop Son1",AD11,13.22
2,1,"MORNING TRIP (All Students)","Ashna Son 1",AD2,13.21
3,1,"MORNING TRIP (All Students)","Pramodh Son 2",AD14,13.22
4,1,"MORNING TRIP (All Students)","Ramya Son 1",AD6,13.21
5,1,"MORNING TRIP (All Students)","Ramya testtesttt",AD666,13.21
6,1,"MORNING TRIP (All Students)","Roy Son 1",AD5,13.21
7,1,"MORNING TRIP (All Students)","Ryan Uvanse",AD9,13.21
8,1,"MORNING TRIP (All Students)","Ryan Uvanse",AD9,13.22
9,1,"MORNING TRIP (All Students)","Sumesh Daughter 1",AD16,13.22
10,1,"MORNING TRIP (All Students)","Swathi Son 1",AD7,13.21
11,1,"MORNING TRIP (All Students)","Swathi Son 2",AD15,13.22
12,1,"MORNING TRIP (All Students)","Syed Muhammad Abdullah Zaidi",AD10,13.21
13,1,"MORNING TRIP (All Students)","Syed Muhammad Abdullah Zaidi",AD10,13.22
