#,Name,"REG #","CLASS & SECTION","Father No","Mother No"
1,3,3,3-3,3,3
2,R,R,R-R,R,R
3,F,F,F-F,F,F
4,g,g,g-g,g,g
5,1,1,1-1,1,1
6,F,F,F-F,F,F
7,M,M,M-M,M,M
8,3,3,3-3,3,3
9,4,4,4-4,4,4
10,1,1,1-1,1,1
11,1,1,1-1,1,1
12,S,S,S-S,S,S
13,S,S,S-S,S,S
14,5,5,5-5,5,5
15,,,-,,
16,,,-,,
17,r,r,r-r,r,r
18,,,-,,
19,,,-,,
20,"
","
","
-
","
","
"
21,,,-,,
22,,,-,,
23,,,-,,
24,,,-,,
25,,,-,,
26,,,-,,
27,A,A,A-A,A,A
28,N,N,N-N,N,N
29,Y,Y,Y-Y,Y,Y
30,3,3,3-3,3,3
31,5,5,5-5,5,5
32,N,N,N-N,N,N
33,N,N,N-N,N,N
34,0,0,0-0,0,0
35,,,-,,
36,,,-,,
37,3,3,3-3,3,3
38,A,A,A-A,A,A
